product,type,model_no,model_year,configuration,body_color,interior_color,engine_power,chessi_no,weight,door,seater,vehicle_no,quantity,remark,brand_name,commodity,id_no,unit,amount_usd,exchange_rate,adjustment_value_ad,import_duty_other_tax_percent,commercial_tax_percent,maccs_service_fee,security_fee,redemption_fine,advance_tax_percent
Q22B,Left Hand Drive,Model:2019; 1300 CC,2019,-,-,-,1300 CC,LVMZ1A1A2KF143205,-,-,-,-,1,,Karry,ILNS ILV192002891,1.00141E+11,Unit,3800,1422.52,0,10,5,15000,10000,100000,2
Q22B,Left Hand Drive,Model:2019; 1300 CC,2019,-,-,-,1300 CC,LVMZ1A1A8KF143211,-,-,-,-,1,,Karry,ILNS ILV192002891,1.00141E+11,Unit,3800,1422.52,0,10,5,15000,10000,100000,2
